Country,Country sp,Deaths,EW,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Iso3166,Lab Confirm,Last Available EpiWeek,Number of Records,PAHO Code Num,PAHO Code,Population,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,Serotype,Severe Dengue,Suspected,TIS,Type,W Pais,Year
Argentina,Argentina,0,19,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,20,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,21,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,22,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,23,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,24,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,25,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,26,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,27,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,28,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,29,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,30,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,31,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,32,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,33,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,34,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,35,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,36,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,37,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,38,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,39,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,40,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,41,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,42,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,43,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,44,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,45,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,46,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,47,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,48,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
Argentina,Argentina,0,49,AR,AR,ARG,32,32,37,11,1,425,ARG,44271,AMR,LAC,SAR,LAM,SCR,DEN 1,0,83,ARG,Preliminar,ARG,2018
