Country,Country sp,Deaths,EW,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Iso3166,Lab Confirm,Last Available EpiWeek,Number of Records,PAHO Code Num,PAHO Code,Population,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,Serotype,Severe Dengue,Suspected,TIS,Type,W Pais,Year
Saint Kitts and Nevis,Saint Kitts y Nevis,0,52,SC,KN,KNA,659,659,1,24,1,477,SKN,52,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,5,SCN,Preliminar,KNA,2015
Anguilla,Anguila,0,52,AV,AI,AIA,660,660,2,52,1,411,ANG,16,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,8,ANG,Preliminar,ANG,2015
Saint Lucia,Santa Lucía,0,52,ST,LC,LCA,662,662,25,52,1,481,SLU,164,AMR,LAC,NLC,CAR,NLC,DEN 1,0,25,STL,Preliminar,LCA,2015
Saint Martin,Isla de San Martín (Francia),0,52,RN,MF,MAF,663,663,61,49,1,663,,41,,,,,,UNKNOWN,0,1488,,Preliminar,,2015
Saint Vincent and the Grenadines,San Vicente y las Granadinas,0,52,VC,VC,VCT,670,670,13,52,1,479,SVG,103,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,13,SVT,Preliminar,VCT,2015
Suriname,Suriname,0,52,NS,SR,SUR,740,740,6,52,1,476,SUR,548,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,15,SUR,Preliminar,SUR,2015
Trinidad and Tobago,Trinidad y Tobago,3,52,TD,TT,TTO,780,780,23,52,1,478,TRT,1347,AMR,LAC,NLC,CAR,NLC,DEN 1,0,1687,TRT,Preliminar,TTO,2015
Turks and Caicos Islands,Islas Turcas y Caicos,0,52,TK,TC,TCA,796,796,331,52,1,473,TUC,50,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,331,TCA,Preliminar,TUC,2015
United States of America,Estados Unidos de América,0,52,US,US,USA,840,840,751,52,1,480,USA,325128,AMR,NAR,NAR,NAR,NAR,DEN 1,0,751,USA,Preliminar,USA,2015
Uruguay,Uruguay,0,52,UY,UY,URY,858,858,0,52,1,482,URU,3430,AMR,LAC,SAR,LAM,SCR,UNKNOWN,0,13,URU,Preliminar,URY,2015
Venezuela,Venezuela,90,52,VE,VE,VEN,862,862,13837,52,1,484,VEN,31293,AMR,LAC,SAR,LAM,ANR,"DEN 1,2,3,4",282,54152,VEN,Preliminar,VEN,2015
Puerto Rico,Puerto Rico,0,52,RQ,PR,PRI,630,630,204,52,1,475,PUR,3681,AMR,LAC,LCR,LAM,LCR,"DEN 1,2,3,4",0,204,PUR,Final,PRI,2016
Antigua and Barbuda,Antigua y Barbuda,0,52,AC,AG,ATG,28,28,0,8,1,431,ANT,95,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,1,ANT,Preliminar,ATG,2018
Brazil,Brasil,863,52,BR,BR,BRA,76,76,500972,52,1,430,BRA,203657,AMR,LAC,SAR,LAM,BRA,"DEN 1,2,3,4",1569,1649008,BRA,final,BRA,2015
Guyana,Guyana,0,52,GY,GY,GUY,328,328,1,10,1,432,GUY,778,AMR,LAC,NLC,CAR,NLC,UNKNOWN,0,9,GUY,Preliminar,GUY,2018
Honduras,Honduras,0,52,HO,HN,HND,340,340,0,11,1,462,HON,9265,AMR,LAC,CAI,LAM,CAI,UNKNOWN,65,1006,HON,Preliminar,HND,2018
Martinique,Martinica,0,52,MB,MQ,MTQ,474,474,0,5,1,491,MAR,385,AMR,LAC,LCR,LAM,LCR,UNKNOWN,0,73,MAR,Preliminar,MTQ,2018
